Year,Scenario,Location,Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,DQS
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_mechRec1_Landfill,component,CRTwhole,1,1
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_mechRec1_Landfill,component,HgVapourInLamps (rem.),1,1
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat1,WEEE_2RM_mechRec1Other_other,component,PCBCat1,0,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat1,WEEE_mechRec1_mechRec2,component,PCBCat1,1,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat2,WEEE_2RM_mechRec1Other_other,component,PCBCat2,0.55,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat2,WEEE_mechRec1_mechRec2,component,PCBCat2,0.45,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat3,WEEE_2RM_mechRec1Other_other,component,PCBCat3,0,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat3,WEEE_mechRec1_mechRec2,component,PCBCat3,1,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat4a,WEEE_2RM_mechRec1Other_other,component,PCBCat4,0,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat4a,WEEE_mechRec1_mechRec2,component,PCBCat4,1,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat4b,WEEE_2RM_mechRec1Other_other,component,PCBCat4,0,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat4b,WEEE_mechRec1_mechRec2,component,PCBCat4,1,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat5,WEEE_2RM_mechRec1Other_other,component,PCBCat5,0.67,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat5,WEEE_mechRec1_mechRec2,component,PCBCat5,0.33,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat6,WEEE_2RM_mechRec1Other_other,component,PCBCat6,0.67,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat6,WEEE_mechRec1_mechRec2,component,PCBCat6,0.33,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_2RM_mechRec1Other_other,component,PVcellCIGS,0,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_mechRec1_mechRec2,component,PVcellCIGS,1,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_2RM_mechRec1Other_other,component,PVcellSi,0.3,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_mechRec1_mechRec2,component,PVcellSi,0.7,4
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_2RM_mechRec1Other_other,component,cables,0.51,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,,WEEE_mechRec1_mechRec2,component,cables,0.49,3
2010,OBS,EU27+4,WEEE_categ_mechRec1,product,WEEE_Cat6,WEEE_2RM_mechRec1Other_other,component,capUnspecified,0.3,3
