Waste Stream,Location,Year,Scenario,additionalSpecification,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,Value,Unit
BATT,EU27+4,2025,REC,,BATT_2RM_AAMRegeneration,battLiRechargeable,anodeActiveMaterial,graphite,,50.37708931,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_AAMRegeneration,battLiRechargeable,anodeActiveMaterial,graphite,C,50.37708931,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_CAMRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,4.989455039,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_CAMRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,7.228212844,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_CAMRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,O,37.27273711,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_CAMRegeneration,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,P,2.766738722,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellCasing,ferrousMetals,,15.62484033,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellCasing,ferrousMetals,undefinedElements,15.62484033,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellCasing,plastics,,3.452376545,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellCasing,plastics,undefinedElements,3.452376545,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,organicSolvents,,24.72530348,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,organicSolvents,undefinedElements,24.72530348,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,,5.386423329,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,F,3.82781345,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,Li,0.539047873,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellElectrolyte,shadowMaterial,P,1.020750253,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellSeparator,plastics,,8.281212715,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,batteryCellSeparator,plastics,undefinedElements,8.281212715,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,currentCollectorAnode,shadowMaterial,Cu,28.38749234,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_DirectRecycling,battLiRechargeable,currentCollectorCathode,shadowMaterial,Al,17.31141316,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,anodeActiveMaterial,graphite,,21487.90406,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,anodeActiveMaterial,graphite,C,21487.90406,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Al,34.70915323,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Co,11710.13511,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Fe,2128.208133,Mg
BATT,EU27+4,2025,REC,,BATT_2RM_LIBBlackMass3,battLiRechargeable,cathodeActiveMaterial,shadowMaterial,Li,3083.130571,Mg
